Crop,Soil,Rainfall,Temperature,Fertilizer,Area,Yield
Cabbage,Loamy,430.6,12.03,204.38,9.29,1.29
Coffee,Silty,913.2,12.98,107.15,1.31,4.99
Sorghum,Loamy,1459.7,28.07,54.53,3.68,2.24
Lettuce,Silty,317.71,25.61,63.1,6.23,0.67
Flax,Clay,363.65,15.98,78.03,0.72,4.41
Soybeans,Loamy,1054.74,21.92,259.09,3.77,4.3
Tomatoes,Sandy,1054.73,34.09,251.38,3.01,2.82
Pears,Chalky,900.13,26.28,238.59,1.78,3.7
Sugarcane,Peaty,1233.2,29.63,100.39,1.31,2.21
Cotton,Peaty,875.48,14.1,268.31,6.67,2.53
Wheat,Clay,614.77,30.69,135.85,4.86,2.98
Avocados,Loamy,338.72,26.46,268.46,0.97,4.87
Blueberries,Clay,1237.23,16.15,96.92,3.57,0.81
Millet,Loamy,864.1,24.62,166.89,1.76,4.0
Pineapple,Peaty,360.3,21.16,282.51,9.88,2.6
Pumpkin,Clay,668.39,18.48,231.96,5.61,1.47
Rice,Clay,870.88,16.91,147.1,0.85,2.99
Cassava,Clay,704.01,23.97,101.35,4.04,3.01
Soybeans,Silty,1357.26,28.79,178.2,8.35,1.99
Spinach,Peaty,906.04,21.25,223.04,1.01,1.68
Pumpkin,Silty,562.85,31.49,93.05,7.69,4.16
Wheat,Sandy,853.88,10.82,222.55,9.32,3.98
Grapes,Silty,981.25,15.64,298.75,7.02,0.93
Beans,Sandy,1483.46,12.93,199.72,1.5,1.36
Hemp,Silty,973.34,21.25,282.01,4.87,2.38
Garlic,Clay,629.16,31.73,126.43,9.36,4.75
Tea,Silty,1426.3,28.74,243.21,3.94,1.66
Amaranth,Chalky,1305.88,34.38,181.03,3.03,1.65
Cabbage,Chalky,527.69,12.12,225.38,4.23,3.31
Quinoa,Peaty,988.7,26.0,81.91,8.75,3.87
Blueberries,Sandy,220.79,17.63,220.5,7.55,2.31
Greengrams,Clay,953.04,12.94,73.93,6.17,1.24
Zucchini,Loamy,723.64,17.85,117.87,9.74,0.72
Strawberries,Loamy,1064.18,20.8,172.47,3.58,3.47
Tea,Loamy,1303.02,21.28,243.18,5.68,4.35
Pumpkin,Loamy,247.69,34.13,154.68,7.56,2.27
Tea,Chalky,739.75,31.88,183.54,9.58,4.24
Carrots,Sandy,475.67,25.56,182.87,0.82,2.66
Sorghum,Silty,1443.77,30.6,233.27,1.33,2.52
Coffee,Clay,355.37,19.55,203.01,9.92,2.1
Spinach,Sandy,1034.88,19.33,94.17,7.3,1.8
Lettuce,Loamy,1342.77,19.73,99.8,5.81,1.36
Strawberries,Sandy,857.43,31.7,112.43,5.73,1.38
Onions,Silty,1204.34,10.43,138.0,2.35,3.78
Beans,Peaty,836.45,29.04,261.66,1.53,2.9
Chickpeas,Silty,581.27,19.87,174.27,5.71,1.52
Beans,Peaty,1139.68,31.97,108.77,8.94,2.2
Pineapple,Sandy,447.63,24.7,68.3,3.98,1.98
Millet,Sandy,1086.32,16.61,230.18,2.5,2.77
Zucchini,Sandy,1042.79,13.96,212.33,1.99,2.74
Cowpeas,Silty,495.64,10.89,184.05,9.11,4.42
Cotton,Chalky,1352.51,11.27,77.16,1.52,2.14
Spinach,Clay,702.64,27.86,121.13,0.53,2.88
Garlic,Sandy,1025.86,23.49,100.19,1.42,4.49
Beans,Loamy,338.21,19.87,289.76,7.08,0.95
Millet,Chalky,730.32,26.26,164.6,0.52,2.01
Potatoes,Silty,1155.9,17.93,228.11,8.23,1.71
Bananas,Loamy,344.61,22.09,248.15,2.78,2.52
Garlic,Peaty,976.13,13.04,96.15,3.54,1.56
Tea,Chalky,1184.05,34.03,87.31,8.44,1.81
Cassava,Clay,1398.72,19.77,189.98,3.75,4.15
Amaranth,Peaty,697.0,20.36,197.27,6.49,2.8
Tomatoes,Silty,1416.1,19.61,68.62,5.95,3.94
Peanuts,Chalky,510.17,24.7,195.27,5.01,2.28
Avocados,Loamy,207.22,29.21,222.77,6.47,3.17
Lentils,Peaty,388.7,22.67,255.37,2.03,1.2
Potatoes,Chalky,1037.18,21.87,70.37,5.62,1.21
Sorghum,Loamy,1059.03,11.03,259.59,7.43,4.3
Flax,Silty,1120.71,31.35,147.03,1.16,2.48
Garlic,Sandy,581.72,34.86,242.42,7.9,0.64
Cauliflower,Silty,1470.02,25.94,296.78,7.83,4.52
Hemp,Clay,1114.97,29.78,222.58,8.77,1.06
Tobacco,Peaty,580.13,25.38,116.04,6.4,1.05
Cocoa,Chalky,360.88,23.94,264.21,0.89,1.24
Mangoes,Loamy,1311.93,23.68,93.26,9.65,3.59
Spinach,Sandy,971.2,27.63,51.52,7.92,2.89
Lentils,Clay,1139.7,14.36,147.16,1.15,0.68
Pears,Silty,315.05,26.58,211.95,1.03,2.89
